name,price,set_ID,rating
Friends Advent Calendar,"$29.99, 29.99€ | ,6.0c, 6.0c,Box,Retail,USA: Sep 18, UK/EU: Sep 18,Normal",41353: ,
Unikitty Cloud Car,"$9.99, 14.99€ | ,7.9c, 11.9c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41451: ,
Prince Puppycorn Trike,"$9.99, 14.99€ | ,9.9c, 14.8c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41452: ,
Party Time,"$19.99, 29.99€ | ,9.3c, 14.0c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41453: ,
Dr. Fox Laboratory,"$29.99, 39.99€ | ,8.4c, 11.1c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41454: ,
Unikingdom Creative Brick Box,"$39.99, 39.99€ | ,9.2c, 9.2c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41455: ,4.6
Unikingdom Fairground Fun,"$39.99, 39.99€ | ,7.8c, 7.8c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41456: ,4.6
Go Brick Me,"$29.99, 29.99€ | ,4.2c, 4.2c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",41597: ,4.6
The Flash,"$9.99, 9.99€ | ,8.2c, 8.2c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41598: ,4.6
Wonder Woman,"$9.99, 9.99€ | ,7.0c, 7.0c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41599: ,4.6
Aquaman,"$9.99, 9.99€ | ,7.4c, 7.4c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",41600: ,4.6
Cyborg,"$9.99, 9.99€ | ,9.3c, 9.3c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",41601: ,4.6
Rey,"$9.99, 9.99€ | ,8.4c, 8.4c,Box,Retail,USA: Jan 18, UK/EU: Jan 18,Normal",41602: ,4.6
Kylo Ren,"$9.99, 9.99€ | ,7.7c, 7.7c,Box,Retail,USA: Jan 18, UK/EU: Jan 18,Normal",41603: ,4.6
Iron Man MK50,"$9.99, 9.99€ | ,9.9c, 9.9c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",41604: ,4.6
Thanos,"$9.99, 9.99€ | ,9.5c, 9.5c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",41605: ,4.6
Star-Lord,"$9.99, 9.99€ | ,8.8c, 8.8c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",41606: ,4.6
Gamora,"$9.99, 9.99€ | ,7.3c, 7.3c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",41607: ,4.6
Han Solo,"$9.99, 9.99€ | ,7.1c, 7.1c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",41608: ,4.6
Chewbacca,"$9.99, 9.99€ | ,6.7c, 6.7c,Box,Retail,USA: Apr 18, UK/EU: Apr 18,Normal",41609: ,4.6
Tactical Batman & Superman,"$19.99, 19.99€ | ,9.6c, 9.6c,Box,USA: May 18, UK/EU: May 18,Normal",41610: ,4.6
Marty McFly & Doc Brown,"$19.99, 19.99€ | ,8.3c, 8.3c,Box,USA: Apr 18, UK/EU: May 18,Normal",41611: ,4.6
Steve & Creeper,"$19.99, 19.99€ | ,12.5c, 12.5c,Box,USA: Aug 18, UK/EU: Aug 18,Normal",41612: ,4.6
